iter	Passed	Remaining
0	50	10119
1	54	5444
2	59	3879
3	62	3075
4	66	2585
5	69	2259
6	73	2039
7	78	1872
8	81	1731
9	84	1612
10	89	1546
11	93	1464
12	97	1403
13	101	1343
14	104	1290
15	108	1244
16	111	1202
17	115	1163
18	118	1127
19	121	1096
20	126	1079
21	130	1058
22	134	1034
23	137	1011
24	142	994
25	146	977
26	150	962
27	154	947
28	157	930
29	161	916
30	165	900
31	168	886
32	172	871
33	175	859
34	179	846
35	182	833
36	186	822
37	190	811
38	194	801
39	197	789
40	200	779
41	204	769
42	207	759
43	211	749
44	215	741
45	219	733
46	223	726
47	227	718
48	230	711
49	234	702
50	237	694
51	241	687
52	244	678
53	248	673
54	252	665
55	258	664
56	263	661
57	266	653
58	270	645
59	273	638
60	276	630
61	281	626
62	285	620
63	289	615
64	294	611
65	298	606
66	302	600
67	307	596
68	311	590
69	315	585
70	319	579
71	323	574
72	329	573
73	333	568
74	339	565
75	344	561
76	349	558
77	354	553
78	358	548
79	362	543
80	366	537
81	370	533
82	374	527
83	377	521
84	381	516
85	385	510
86	389	505
87	392	499
88	396	494
89	399	488
90	403	483
91	407	478
92	411	473
93	415	468
94	419	464
95	424	459
96	428	455
97	432	450
98	436	445
99	442	442
100	446	437
101	454	436
102	459	432
103	466	430
104	470	425
105	475	421
106	479	416
107	482	411
108	487	407
109	493	403
110	497	398
111	501	393
112	506	389
113	510	385
114	515	380
115	519	376
116	524	371
117	529	368
118	534	363
119	538	359
120	542	354
121	546	349
122	550	344
123	554	339
124	557	334
125	561	329
126	564	324
127	568	319
128	571	314
129	575	309
130	578	304
131	581	299
132	585	294
133	588	289
134	591	284
135	594	279
136	598	275
137	601	270
138	604	265
139	608	260
140	611	255
141	617	252
142	624	248
143	630	245
144	634	240
145	638	236
146	643	231
147	647	227
148	651	223
149	655	218
150	659	213
151	663	209
152	667	205
153	671	200
154	675	196
155	678	191
156	682	186
157	686	182
158	689	177
159	692	173
160	696	168
161	700	164
162	704	159
163	707	155
164	711	151
165	716	146
166	720	142
167	722	137
168	727	133
169	730	128
170	735	124
171	739	120
172	744	116
173	748	111
174	751	107
175	755	103
176	759	98
177	763	94
178	768	90
179	774	86
180	778	81
181	782	77
182	786	73
183	791	68
184	795	64
185	801	60
186	806	56
187	812	51
188	816	47
189	820	43
190	824	38
191	828	34
192	832	30
193	837	25
194	841	21
195	845	17
196	849	12
197	854	8
198	859	4
199	863	0
